n,m,alfa,rep,mlr_cmax,sa_cmax,mlr_tempo,sa_tempo,diff_pct_cmax,diff_pct_tempo,winner_qualidade,winner_tempo
2500,50,0.80,1,64024,2793,1e-05,0.00074,-95.64,7300.0,SA,MLR
2500,50,0.80,2,15730,2723,2e-05,0.00071,-82.69,3450.0,SA,MLR
2500,50,0.80,3,63539,2707,2e-05,0.00068,-95.74,3300.0,SA,MLR
2500,50,0.80,4,31378,2775,2e-05,0.00073,-91.16,3550.0,SA,MLR
2500,50,0.80,5,63237,2761,2e-05,0.00072,-95.63,3500.0,SA,MLR
2500,50,0.80,6,63512,2835,1e-05,0.00071,-95.54,7000.0,SA,MLR
2500,50,0.80,7,15634,2774,3e-05,0.00072,-82.26,2300.0,SA,MLR
2500,50,0.80,8,63963,2857,1e-05,0.00073,-95.53,7200.0,SA,MLR
2500,50,0.80,9,32385,2796,2e-05,0.00073,-91.37,3550.0,SA,MLR
2500,50,0.80,10,62627,2834,1e-05,0.00075,-95.47,7400.0,SA,MLR
2500,50,0.85,1,64024,2727,1e-05,0.00105,-95.74,10400.0,SA,MLR
2500,50,0.85,2,15730,2800,2e-05,0.00099,-82.2,4850.0,SA,MLR
2500,50,0.85,3,63539,2835,2e-05,0.00103,-95.54,5050.0,SA,MLR
2500,50,0.85,4,31378,2802,2e-05,0.00092,-91.07,4500.0,SA,MLR
2500,50,0.85,5,63237,2853,2e-05,0.00091,-95.49,4450.0,SA,MLR
2500,50,0.85,6,63512,2747,1e-05,0.00093,-95.67,9200.0,SA,MLR
2500,50,0.85,7,15634,2730,3e-05,0.00091,-82.54,2933.33,SA,MLR
2500,50,0.85,8,63963,2800,1e-05,0.00098,-95.62,9700.0,SA,MLR
2500,50,0.85,9,32385,2744,2e-05,0.00091,-91.53,4450.0,SA,MLR
2500,50,0.85,10,62627,2747,1e-05,0.00091,-95.61,9000.0,SA,MLR
2500,50,0.90,1,64024,2666,1e-05,0.00143,-95.84,14200.0,SA,MLR
