heuristica,n,m,replicacao,tempo,iteracoes,valor,parametro
temperasimulada,89,20,2,0.00374,1146,280,0.99
temperasimulada,89,20,3,0.00398,1146,245,0.99
temperasimulada,89,20,4,0.00353,1146,239,0.99
temperasimulada,89,20,5,0.00350,1146,256,0.99
temperasimulada,89,20,6,0.00361,1146,243,0.99
temperasimulada,89,20,7,0.00384,1146,242,0.99
temperasimulada,89,20,8,0.00385,1146,249,0.99
temperasimulada,89,20,9,0.00391,1146,226,0.99
temperasimulada,89,20,10,0.00324,1146,259,0.99
temperasimulada,400,20,1,0.00029,52,1042,0.80
temperasimulada,400,20,2,0.00023,52,1121,0.80
temperasimulada,400,20,3,0.00022,52,1067,0.80
temperasimulada,400,20,4,0.00022,52,1087,0.80
temperasimulada,400,20,5,0.00025,52,1106,0.80
temperasimulada,400,20,6,0.00022,52,999,0.80
temperasimulada,400,20,7,0.00022,52,1178,0.80
temperasimulada,400,20,8,0.00022,52,1091,0.80
temperasimulada,400,20,9,0.00021,52,1052,0.80
temperasimulada,400,20,10,0.00022,52,1084,0.80
temperasimulada,400,20,1,0.00028,71,1079,0.85
temperasimulada,400,20,2,0.00028,71,1044,0.85
temperasimulada,400,20,3,0.00029,71,1046,0.85
temperasimulada,400,20,4,0.00027,71,1089,0.85
temperasimulada,400,20,5,0.00027,71,1108,0.85
temperasimulada,400,20,6,0.00027,71,1044,0.85
temperasimulada,400,20,7,0.00027,71,1078,0.85
temperasimulada,400,20,8,0.00029,71,1041,0.85
temperasimulada,400,20,9,0.00027,71,1071,0.85
temperasimulada,400,20,10,0.00029,71,1036,0.85
temperasimulada,400,20,1,0.00039,110,1038,0.90
temperasimulada,400,20,2,0.00040,110,1058,0.90
temperasimulada,400,20,3,0.00039,110,1072,0.90
temperasimulada,400,20,4,0.00040,110,1034,0.90
temperasimulada,400,20,5,0.00039,110,1086,0.90
temperasimulada,400,20,6,0.00041,110,1032,0.90
temperasimulada,400,20,7,0.00039,110,1067,0.90
temperasimulada,400,20,8,0.00041,110,1084,0.90
temperasimulada,400,20,9,0.00039,110,1079,0.90
temperasimulada,400,20,10,0.00041,110,1034,0.90
temperasimulada,400,20,1,0.00076,225,1035,0.95
temperasimulada,400,20,2,0.00075,225,1006,0.95
temperasimulada,400,20,3,0.00073,225,1010,0.95
temperasimulada,400,20,4,0.00074,225,1002,0.95
temperasimulada,400,20,5,0.00076,225,1069,0.95
temperasimulada,400,20,6,0.00075,225,1052,0.95
temperasimulada,400,20,7,0.00074,225,1061,0.95
temperasimulada,400,20,8,0.00075,225,1092,0.95
temperasimulada,400,20,9,0.00075,225,1065,0.95
temperasimulada,400,20,10,0.00074,225,1045,0.95
temperasimulada,400,20,1,0.00374,1146,1064,0.99
temperasimulada,400,20,2,0.00367,1146,1059,0.99
temperasimulada,400,20,3,0.00374,1146,1049,0.99
temperasimulada,400,20,4,0.00366,1146,1034,0.99
temperasimulada,400,20,5,0.00374,1146,1058,0.99
temperasimulada,400,20,6,0.00455,1146,997,0.99
temperasimulada,400,20,7,0.00550,1146,1034,0.99
temperasimulada,400,20,8,0.00372,1146,1031,0.99
temperasimulada,400,20,9,0.00373,1146,1039,0.99
temperasimulada,400,20,10,0.00373,1146,1063,0.99
temperasimulada,353,50,1,0.00045,52,473,0.80
temperasimulada,353,50,2,0.00042,52,565,0.80
temperasimulada,353,50,3,0.00045,52,719,0.80
temperasimulada,353,50,4,0.00041,52,486,0.80
temperasimulada,353,50,5,0.00044,52,536,0.80
temperasimulada,353,50,6,0.00041,52,577,0.80
temperasimulada,353,50,7,0.00043,52,564,0.80
temperasimulada,353,50,8,0.00041,52,512,0.80
temperasimulada,353,50,9,0.00042,52,578,0.80
temperasimulada,353,50,10,0.00041,52,556,0.80
temperasimulada,353,50,1,0.00053,71,449,0.85
temperasimulada,353,50,2,0.00057,71,619,0.85
temperasimulada,353,50,3,0.00053,71,478,0.85
temperasimulada,353,50,4,0.00053,71,479,0.85
temperasimulada,353,50,5,0.00057,71,611,0.85
temperasimulada,353,50,6,0.00053,71,562,0.85
temperasimulada,353,50,7,0.00053,71,470,0.85
temperasimulada,353,50,8,0.00056,71,528,0.85
temperasimulada,353,50,9,0.00056,71,595,0.85
temperasimulada,353,50,10,0.00054,71,536,0.85
temperasimulada,353,50,1,0.00083,110,597,0.90
temperasimulada,353,50,2,0.00082,110,407,0.90
temperasimulada,353,50,3,0.00085,110,676,0.90
temperasimulada,353,50,4,0.00082,110,502,0.90
temperasimulada,353,50,5,0.00081,110,446,0.90
temperasimulada,353,50,6,0.00081,110,416,0.90
temperasimulada,353,50,7,0.00104,110,540,0.90
temperasimulada,353,50,8,0.00141,110,607,0.90
temperasimulada,353,50,9,0.00135,110,435,0.90
temperasimulada,353,50,10,0.00100,110,439,0.90
temperasimulada,353,50,1,0.00240,225,439,0.95
temperasimulada,353,50,2,0.00161,225,387,0.95
temperasimulada,353,50,3,0.00168,225,625,0.95
temperasimulada,353,50,4,0.00168,225,415,0.95
temperasimulada,353,50,5,0.00170,225,615,0.95
temperasimulada,353,50,6,0.00274,225,403,0.95
temperasimulada,353,50,7,0.00286,225,561,0.95
temperasimulada,353,50,8,0.00279,225,391,0.95
temperasimulada,353,50,9,0.00288,225,601,0.95
temperasimulada,353,50,10,0.00205,225,372,0.95
temperasimulada,353,50,1,0.00844,1146,383,0.99
temperasimulada,353,50,2,0.00828,1146,401,0.99
temperasimulada,353,50,3,0.00839,1146,398,0.99
temperasimulada,353,50,4,0.00855,1146,367,0.99
temperasimulada,353,50,5,0.00810,1146,390,0.99
temperasimulada,353,50,6,0.00821,1146,378,0.99
temperasimulada,353,50,7,0.00810,1146,398,0.99
temperasimulada,353,50,8,0.00806,1146,412,0.99
temperasimulada,353,50,9,0.00820,1146,377,0.99
temperasimulada,353,50,10,0.00814,1146,396,0.99
temperasimulada,2500,50,1,0.00628,52,2845,0.80
temperasimulada,2500,50,2,0.00520,52,2818,0.80
temperasimulada,2500,50,3,0.00571,52,2819,0.80
temperasimulada,2500,50,4,0.00587,52,2819,0.80
temperasimulada,2500,50,5,0.00551,52,2795,0.80
temperasimulada,2500,50,6,0.00601,52,2722,0.80
temperasimulada,2500,50,7,0.00586,52,2701,0.80
temperasimulada,2500,50,8,0.00569,52,2778,0.80
temperasimulada,2500,50,9,0.00561,52,2827,0.80
temperasimulada,2500,50,10,0.00633,52,2814,0.80
temperasimulada,2500,50,1,0.01057,71,2738,0.85
temperasimulada,2500,50,2,0.00921,71,2692,0.85
temperasimulada,2500,50,3,0.00682,71,2709,0.85
temperasimulada,2500,50,4,0.00821,71,2745,0.85
temperasimulada,2500,50,5,0.00924,71,2679,0.85
temperasimulada,2500,50,6,0.00690,71,2768,0.85
temperasimulada,2500,50,7,0.00749,71,2687,0.85
temperasimulada,2500,50,8,0.00773,71,2822,0.85
temperasimulada,2500,50,9,0.00889,71,2784,0.85
temperasimulada,2500,50,10,0.00757,71,2706,0.85
temperasimulada,2500,50,1,0.01170,110,2748,0.90
temperasimulada,2500,50,2,0.01227,110,2653,0.90
temperasimulada,2500,50,3,0.01277,110,2617,0.90
temperasimulada,2500,50,4,0.01382,110,2607,0.90
temperasimulada,2500,50,5,0.01324,110,2618,0.90
temperasimulada,2500,50,6,0.01287,110,2640,0.90
temperasimulada,2500,50,7,0.01708,110,2694,0.90
temperasimulada,2500,50,8,0.01168,110,2642,0.90
temperasimulada,2500,50,9,0.01374,110,2653,0.90
temperasimulada,2500,50,10,0.01753,110,2666,0.90
temperasimulada,2500,50,1,0.02684,225,2636,0.95
temperasimulada,2500,50,2,0.02500,225,2604,0.95
temperasimulada,2500,50,3,0.02780,225,2617,0.95
temperasimulada,2500,50,4,0.02473,225,2591,0.95
temperasimulada,2500,50,5,0.02601,225,2580,0.95
temperasimulada,2500,50,6,0.02239,225,2701,0.95
temperasimulada,2500,50,7,0.02530,225,2574,0.95
temperasimulada,2500,50,8,0.02259,225,2583,0.95
temperasimulada,2500,50,9,0.02367,225,2597,0.95
temperasimulada,2500,50,10,0.02399,225,2584,0.95
temperasimulada,2500,50,1,0.10646,1146,2569,0.99
temperasimulada,2500,50,2,0.17548,1146,2562,0.99
temperasimulada,2500,50,3,0.18615,1146,2510,0.99
temperasimulada,2500,50,4,0.15323,1146,2498,0.99
temperasimulada,2500,50,5,0.13246,1146,2518,0.99
temperasimulada,2500,50,6,0.09610,1146,2554,0.99
temperasimulada,2500,50,7,0.17198,1146,2569,0.99
temperasimulada,2500,50,8,0.15022,1146,2507,0.99
temperasimulada,2500,50,9,0.17182,1146,2567,0.99
temperasimulada,2500,50,10,0.10791,1146,2637,0.99
